month,word,pct_of_clips,num_clips,month_name,year
2020-07,biden,0.0,13.0,July,2020
2020-08,biden,0.0,4.0,August,2020
2020-09,biden,2.2,93.0,September,2020
2020-10,biden,18.8,32.0,October,2020
2020-11,biden,50.0,6.0,November,2020
2020-12,biden,14.3,14.0,December,2020
2021-01,biden,31.0,29.0,January,2021
2021-02,biden,5.6,54.0,February,2021
2021-03,biden,0.6,161.0,March,2021
2021-04,biden,11.4,307.0,April,2021
2021-05,biden,3.7,721.0,May,2021
2021-06,biden,3.5,1274.0,June,2021
2021-07,biden,4.9,1338.0,July,2021
2021-08,biden,4.3,442.0,August,2021
2021-09,biden,4.3,187.0,September,2021
2021-10,biden,6.0,750.0,October,2021
2021-11,biden,4.8,884.0,November,2021
2021-12,biden,8.3,217.0,December,2021
2022-01,biden,7.8,230.0,January,2022
2022-02,biden,3.7,164.0,February,2022
2022-03,biden,3.4,119.0,March,2022
2022-04,biden,4.7,213.0,April,2022
2022-05,biden,3.3,150.0,May,2022
2022-06,biden,0.9,110.0,June,2022
2020-07,federal,15.4,13.0,July,2020
2020-08,federal,50.0,4.0,August,2020
2020-09,federal,23.7,93.0,September,2020
2020-10,federal,12.5,32.0,October,2020
2020-11,federal,0.0,6.0,November,2020
2020-12,federal,0.0,14.0,December,2020
2021-01,federal,20.7,29.0,January,2021
2021-02,federal,0.0,54.0,February,2021
2021-03,federal,1.9,161.0,March,2021
2021-04,federal,1.0,307.0,April,2021
2021-05,federal,2.2,721.0,May,2021
2021-06,federal,2.0,1274.0,June,2021
2021-07,federal,1.0,1338.0,July,2021
2021-08,federal,1.1,442.0,August,2021
2021-09,federal,1.1,187.0,September,2021
2021-10,federal,1.6,750.0,October,2021
2021-11,federal,0.5,884.0,November,2021
2021-12,federal,0.5,217.0,December,2021
2022-01,federal,3.5,230.0,January,2022
2022-02,federal,0.0,164.0,February,2022
2022-03,federal,0.0,119.0,March,2022
2022-04,federal,1.4,213.0,April,2022
2022-05,federal,2.7,150.0,May,2022
2022-06,federal,0.9,110.0,June,2022
2020-07,government,30.8,13.0,July,2020
2020-08,government,50.0,4.0,August,2020
2020-09,government,15.1,93.0,September,2020
2020-10,government,3.1,32.0,October,2020
2020-11,government,0.0,6.0,November,2020
2020-12,government,0.0,14.0,December,2020
2021-01,government,3.4,29.0,January,2021
2021-02,government,0.0,54.0,February,2021
2021-03,government,1.9,161.0,March,2021
2021-04,government,0.7,307.0,April,2021
2021-05,government,1.5,721.0,May,2021
2021-06,government,1.5,1274.0,June,2021
2021-07,government,2.0,1338.0,July,2021
2021-08,government,0.2,442.0,August,2021
2021-09,government,0.5,187.0,September,2021
2021-10,government,2.5,750.0,October,2021
2021-11,government,1.0,884.0,November,2021
2021-12,government,0.5,217.0,December,2021
2022-01,government,3.9,230.0,January,2022
2022-02,government,2.4,164.0,February,2022
2022-03,government,1.7,119.0,March,2022
2022-04,government,2.3,213.0,April,2022
2022-05,government,2.7,150.0,May,2022
2022-06,government,0.9,110.0,June,2022
2020-07,funding,0.0,13.0,July,2020
2020-08,funding,0.0,4.0,August,2020
2020-09,funding,2.2,93.0,September,2020
2020-10,funding,0.0,32.0,October,2020
2020-11,funding,66.7,6.0,November,2020
2020-12,funding,0.0,14.0,December,2020
2021-01,funding,0.0,29.0,January,2021
2021-02,funding,0.0,54.0,February,2021
2021-03,funding,0.6,161.0,March,2021
2021-04,funding,1.6,307.0,April,2021
2021-05,funding,1.2,721.0,May,2021
2021-06,funding,0.2,1274.0,June,2021
2021-07,funding,0.8,1338.0,July,2021
2021-08,funding,0.0,442.0,August,2021
2021-09,funding,0.0,187.0,September,2021
2021-10,funding,0.5,750.0,October,2021
2021-11,funding,0.2,884.0,November,2021
2021-12,funding,0.0,217.0,December,2021
2022-01,funding,1.3,230.0,January,2022
2022-02,funding,0.0,164.0,February,2022
2022-03,funding,0.8,119.0,March,2022
2022-04,funding,1.4,213.0,April,2022
2022-05,funding,0.0,150.0,May,2022
2022-06,funding,0.0,110.0,June,2022
2020-07,america(n),0.0,13.0,July,2020
2020-08,america(n),0.0,4.0,August,2020
2020-09,america(n),21.5,93.0,September,2020
2020-10,america(n),12.5,32.0,October,2020
2020-11,america(n),0.0,6.0,November,2020
2020-12,america(n),0.0,14.0,December,2020
2021-01,america(n),20.6,29.0,January,2021
2021-02,america(n),24.1,54.0,February,2021
2021-03,america(n),13.7,161.0,March,2021
2021-04,america(n),15.6,307.0,April,2021
2021-05,america(n),12.6,721.0,May,2021
2021-06,america(n),12.6,1274.0,June,2021
2021-07,america(n),16.1,1338.0,July,2021
2021-08,america(n),19.0,442.0,August,2021
2021-09,america(n),19.8,187.0,September,2021
2021-10,america(n),7.2,750.0,October,2021
2021-11,america(n),6.5,884.0,November,2021
2021-12,america(n),10.2,217.0,December,2021
2022-01,america(n),10.4,230.0,January,2022
2022-02,america(n),8.0,164.0,February,2022
2022-03,america(n),5.9,119.0,March,2022
2022-04,america(n),10.4,213.0,April,2022
2022-05,america(n),12.6,150.0,May,2022
2022-06,america(n),15.4,110.0,June,2022
2020-07,history,0.0,13.0,July,2020
2020-08,history,0.0,4.0,August,2020
2020-09,history,2.2,93.0,September,2020
2020-10,history,0.0,32.0,October,2020
2020-11,history,0.0,6.0,November,2020
2020-12,history,7.1,14.0,December,2020
2021-01,history,3.4,29.0,January,2021
2021-02,history,0.0,54.0,February,2021
2021-03,history,2.5,161.0,March,2021
2021-04,history,2.0,307.0,April,2021
2021-05,history,5.1,721.0,May,2021
2021-06,history,7.9,1274.0,June,2021
2021-07,history,8.2,1338.0,July,2021
2021-08,history,2.9,442.0,August,2021
2021-09,history,5.9,187.0,September,2021
2021-10,history,0.9,750.0,October,2021
2021-11,history,4.3,884.0,November,2021
2021-12,history,4.1,217.0,December,2021
2022-01,history,2.2,230.0,January,2022
2022-02,history,1.8,164.0,February,2022
2022-03,history,4.2,119.0,March,2022
2022-04,history,2.3,213.0,April,2022
2022-05,history,6.7,150.0,May,2022
2022-06,history,6.4,110.0,June,2022
2020-07,racist,0.0,13.0,July,2020
2020-08,racist,0.0,4.0,August,2020
2020-09,racist,10.8,93.0,September,2020
2020-10,racist,18.8,32.0,October,2020
2020-11,racist,0.0,6.0,November,2020
2020-12,racist,0.0,14.0,December,2020
2021-01,racist,0.0,29.0,January,2021
2021-02,racist,9.3,54.0,February,2021
2021-03,racist,9.9,161.0,March,2021
2021-04,racist,6.2,307.0,April,2021
2021-05,racist,9.2,721.0,May,2021
2021-06,racist,7.2,1274.0,June,2021
2021-07,racist,4.9,1338.0,July,2021
2021-08,racist,6.1,442.0,August,2021
2021-09,racist,3.7,187.0,September,2021
2021-10,racist,5.1,750.0,October,2021
2021-11,racist,5.5,884.0,November,2021
2021-12,racist,6.0,217.0,December,2021
2022-01,racist,6.5,230.0,January,2022
2022-02,racist,6.7,164.0,February,2022
2022-03,racist,5.9,119.0,March,2022
2022-04,racist,1.9,213.0,April,2022
2022-05,racist,6.0,150.0,May,2022
2022-06,racist,1.8,110.0,June,2022
2020-07,children/kids,46.2,13.0,July,2020
2020-08,children/kids,0.0,4.0,August,2020
2020-09,children/kids,4.300000000000001,93.0,September,2020
2020-10,children/kids,9.3,32.0,October,2020
2020-11,children/kids,0.0,6.0,November,2020
2020-12,children/kids,0.0,14.0,December,2020
2021-01,children/kids,13.7,29.0,January,2021
2021-02,children/kids,11.1,54.0,February,2021
2021-03,children/kids,20.5,161.0,March,2021
2021-04,children/kids,12.7,307.0,April,2021
2021-05,children/kids,20.200000000000003,721.0,May,2021
2021-06,children/kids,17.7,1274.0,June,2021
2021-07,children/kids,16.2,1338.0,July,2021
2021-08,children/kids,15.4,442.0,August,2021
2021-09,children/kids,14.5,187.0,September,2021
2021-10,children/kids,23.3,750.0,October,2021
2021-11,children/kids,18.200000000000003,884.0,November,2021
2021-12,children/kids,23.5,217.0,December,2021
2022-01,children/kids,23.1,230.0,January,2022
2022-02,children/kids,20.7,164.0,February,2022
2022-03,children/kids,8.4,119.0,March,2022
2022-04,children/kids,31.4,213.0,April,2022
2022-05,children/kids,18.0,150.0,May,2022
2022-06,children/kids,12.7,110.0,June,2022
2020-07,parents,0.0,13.0,July,2020
2020-08,parents,0.0,4.0,August,2020
2020-09,parents,0.0,93.0,September,2020
2020-10,parents,0.0,32.0,October,2020
2020-11,parents,0.0,6.0,November,2020
2020-12,parents,7.1,14.0,December,2020
2021-01,parents,6.9,29.0,January,2021
2021-02,parents,1.9,54.0,February,2021
2021-03,parents,19.9,161.0,March,2021
2021-04,parents,14.3,307.0,April,2021
2021-05,parents,13.5,721.0,May,2021
2021-06,parents,16.6,1274.0,June,2021
2021-07,parents,15.5,1338.0,July,2021
2021-08,parents,14.7,442.0,August,2021
2021-09,parents,16.6,187.0,September,2021
2021-10,parents,39.9,750.0,October,2021
2021-11,parents,27.0,884.0,November,2021
2021-12,parents,23.5,217.0,December,2021
2022-01,parents,22.2,230.0,January,2022
2022-02,parents,24.4,164.0,February,2022
2022-03,parents,4.2,119.0,March,2022
2022-04,parents,20.7,213.0,April,2022
2022-05,parents,16.7,150.0,May,2022
2022-06,parents,20.0,110.0,June,2022
2020-07,education,15.4,13.0,July,2020
2020-08,education,0.0,4.0,August,2020
2020-09,education,2.2,93.0,September,2020
2020-10,education,0.0,32.0,October,2020
2020-11,education,0.0,6.0,November,2020
2020-12,education,21.4,14.0,December,2020
2021-01,education,3.4,29.0,January,2021
2021-02,education,1.9,54.0,February,2021
2021-03,education,5.6,161.0,March,2021
2021-04,education,9.8,307.0,April,2021
2021-05,education,6.9,721.0,May,2021
2021-06,education,5.7,1274.0,June,2021
2021-07,education,8.6,1338.0,July,2021
2021-08,education,2.7,442.0,August,2021
2021-09,education,4.3,187.0,September,2021
2021-10,education,16.9,750.0,October,2021
2021-11,education,16.7,884.0,November,2021
2021-12,education,7.4,217.0,December,2021
2022-01,education,11.3,230.0,January,2022
2022-02,education,6.7,164.0,February,2022
2022-03,education,1.7,119.0,March,2022
2022-04,education,12.2,213.0,April,2022
2022-05,education,9.3,150.0,May,2022
2022-06,education,9.1,110.0,June,2022
2020-07,virginia,0.0,13.0,July,2020
2020-08,virginia,0.0,4.0,August,2020
2020-09,virginia,0.0,93.0,September,2020
2020-10,virginia,0.0,32.0,October,2020
2020-11,virginia,0.0,6.0,November,2020
2020-12,virginia,0.0,14.0,December,2020
2021-01,virginia,0.0,29.0,January,2021
2021-02,virginia,0.0,54.0,February,2021
